My Sites/My Suppliers' site,Customer code,Customer name,Supplier code,Supplier name,Customer supplier reference,Site code,Site name,Site country,Customer site reference,Trading relationship type,Business type,Site functions,Primary site activity,Direct supplier code,Direct supplier name,Audit code,Audit company name,Audit company type,Audit date,Audit submission date,Audit published date,Workflow status,Audit nature,Is SMETA audit?,Which code was this based on?,Audit schedule type,Audit scope,Auditor uploads,Is most recent audit?,Is Sedex virtual assessment?,Audit finding code,Finding title code,Finding created date,New or carried over,Finding type,Finding criticality,Custom criticality,Finding category,Finding sub-category,Finding title,Finding description,Finding status,Number of days at this status,Is finding open?,Recommended completion date,Is finding overdue?,Days overdue,Corrective action date,Corrective action status,Parent finding code,Superseded by audit code,Audit superseded date,Verification method,Verified date,Parent audit code,Verified by audit code
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC407795284,Kunshan YuHuan Package Materials Co Ltd,,ZS407795302,Kunshan YuHuan Package Materials Co Ltd,China,,Indirect,Goods Provider,,Other manufacturing n.e.c.,ZC1029291,Shurtape Technologies LLC,ZAA600005582,QIMA Ltd,Null,07/03/2023,13/03/2023,17/03/2023,Published,Full Initial Audit,TRUE,,Semi-announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,ZAF600027733,ZAI2031407,07/03/2023,New,Non-compliance,Major,,"3. Health, safety & hygiene",Personal Protective Equipment/Clothing,Personal Protective Equipment (PPE) provided but incidents of workers not using PPE where appropriate,,Created,15,TRUE,12/04/2023,Not overdue,,,,,,,Desktop,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC407795284,Kunshan YuHuan Package Materials Co Ltd,,ZS407795302,Kunshan YuHuan Package Materials Co Ltd,China,,Indirect,Goods Provider,,Other manufacturing n.e.c.,ZC1029291,Shurtape Technologies LLC,ZAA600005582,QIMA Ltd,Null,07/03/2023,13/03/2023,17/03/2023,Published,Full Initial Audit,TRUE,,Semi-announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,ZAF600027734,ZAI2060302,07/03/2023,New,Non-compliance,Major,,6. Working Hours,Overtime,"Overtime is not used responsibly i.e. extent, frequency and level of hours worked by individual workers and / or whole workforce are excessive",,Created,15,TRUE,12/05/2023,Not overdue,,,,,,,Follow up,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC407795284,Kunshan YuHuan Package Materials Co Ltd,,ZS407795302,Kunshan YuHuan Package Materials Co Ltd,China,,Indirect,Goods Provider,,Other manufacturing n.e.c.,ZC1029291,Shurtape Technologies LLC,ZAA600005582,QIMA Ltd,Null,07/03/2023,13/03/2023,17/03/2023,Published,Full Initial Audit,TRUE,,Semi-announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,ZAF600027735,ZAI2000330,09/03/2023,New,Good example,,,0. Management Systems,Site's Management systems & Monitoring,"Certifications in place with sub-suppliers / labour brokers e.g. ISO 9000, FSC, SA 8000, ISO 14001, etc.",Confirmed by management and document review,Created,13,FALSE,,Not overdue,,,,,,,,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,3b2ff022-5822-4667-a8cc-c0b11f6c96b0,ZAI2030902,03/02/2023,New,Non-compliance,Critical,,"3. Health, safety & hygiene","Fire Safety - Licenses, Inspections & Training","Fire licence, inspection, or certificates not in place as required by law",,Created,47,TRUE,05/03/2023,Overdue,-10,,,,,,Desktop,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,8eb96101-5433-453f-aac4-29d1b0aaeda8,ZAI2000407,03/02/2023,New,Observation,,,0. Management Systems,Site's Systems to Manage Supplier Compliance,No / inadequate system in place to monitor the site's own suppliers against social standards,,Created,47,FALSE,,Not overdue,,,,,,,Desktop,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,86f1b230-a5ec-4fd4-abde-12e5071c4dcc,ZAI2031208,03/02/2023,New,Non-compliance,Minor,,"3. Health, safety & hygiene",Building/Site Maintenance,Premises require minor repairs that may affect personal safety (e.g. missing handrails),,Created,47,TRUE,09/04/2023,Not overdue,,,,,,,Desktop,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,308d4d27-edee-4be2-a09b-dde6af166305,ZAI2000409,03/02/2023,New,Observation,,,0. Management Systems,Site's Systems to Manage Supplier Compliance,The ethical Code (i.e. ETI Base Code for SMETA audits) is not communicated to the site's own suppliers,,Created,47,FALSE,,Not overdue,,,,,,,,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,98284c9c-a668-4499-9ab9-2239b8164fd3,ZAI2000407,03/02/2023,New,Observation,,,0. Management Systems,Site's Systems to Manage Supplier Compliance,No / inadequate system in place to monitor the site's own suppliers against social standards,,Created,47,FALSE,,Not overdue,,,,,,,Desktop,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,abf2b721-b6c2-4463-9d48-291c99c25e0d,ZAI2000407,03/02/2023,New,Observation,,,0. Management Systems,Site's Systems to Manage Supplier Compliance,No / inadequate system in place to monitor the site's own suppliers against social standards,,Created,47,FALSE,,Not overdue,,,,,,,Desktop,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,b32fe61c-83d6-420b-ad49-a24e0df9e93b,ZAI2031831,03/02/2023,New,Non-compliance,Minor,,"3. Health, safety & hygiene",Accommodation Living Conditions,First aid kits not available in workers' accommodation,,Created,47,TRUE,09/04/2023,Not overdue,,,,,,,Desktop,,,
